,Graph,Collection,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Total triangles,Average triangles,Maximum triangles,Avg. clustering coef.,Frac. closed triangles,Maximum k-core,Max. clique (lb),Chromatic Number
574,ENZYMES-g126,Cheminformatics,32,94,0.1895,5,0,2.94,-0.06,13,0.41,2,0.082,0.124,3,1,3
575,ENZYMES-g127,Cheminformatics,11,46,0.8364,5,0,4.18,-0.1,40,3.64,6,0.562,0.563,3,2,4
576,ENZYMES-g128,Cheminformatics,26,74,0.2277,6,0,2.85,-0.08,9,0.35,2,0.047,0.105,3,1,4
577,ENZYMES-g129,Cheminformatics,11,40,0.7273,5,0,3.64,-0.09,30,2.73,4,0.603,0.566,3,2,4
578,ENZYMES-g13,Cheminformatics,42,150,0.1742,5,0,3.57,-0.02,101,2.4,5,0.529,0.51,3,2,5
579,ENZYMES-g130,Cheminformatics,14,50,0.5495,5,0,3.57,-0.12,39,2.79,4,0.717,0.661,3,2,4
580,ENZYMES-g131,Cheminformatics,18,70,0.4575,5,0,3.89,-0.03,62,3.44,6,0.611,0.602,3,2,5
581,ENZYMES-g132,Cheminformatics,16,64,0.5333,6,0,4,-0.06,55,3.44,7,0.605,0.556,3,2,4
582,ENZYMES-g133,Cheminformatics,17,68,0.5,5,0,4,-0.09,57,3.35,6,0.627,0.576,3,2,4
583,ENZYMES-g134,Cheminformatics,32,102,0.2056,5,0,3.19,-0.06,30,0.94,3,0.171,0.234,3,1,4
584,ENZYMES-g135,Cheminformatics,13,52,0.6667,7,0,4,-0.09,45,3.46,7,0.577,0.542,3,2,5
585,ENZYMES-g136,Cheminformatics,3,6,2,2,0,2,-0.5,1,0.33,0.5,0.333,0.5,2,1,2
586,ENZYMES-g137,Cheminformatics,22,80,0.3463,7,0,3.64,-0.07,60,2.73,6,0.618,0.531,3,2,4
587,ENZYMES-g138,Cheminformatics,16,72,0.6,7,0,4.5,-0.06,69,4.31,7,0.565,0.523,3,2,5
588,ENZYMES-g139,Cheminformatics,38,164,0.2333,7,0,4.32,-0.01,98,2.58,6,0.353,0.337,3,2,4
589,ENZYMES-g14,Cheminformatics,41,146,0.178,5,0,3.56,-0.02,98,2.39,5,0.53,0.51,3,2,5
590,ENZYMES-g140,Cheminformatics,13,56,0.7179,5,0,4.31,-0.05,46,3.54,6,0.513,0.505,4,2,4
591,ENZYMES-g141,Cheminformatics,12,48,0.7273,6,0,4,-0.13,42,3.5,7,0.636,0.618,3,2,4
592,ENZYMES-g142,Cheminformatics,14,58,0.6374,5,0,4.14,-0.11,44,3.14,4.5,0.552,0.518,3,2,4
593,ENZYMES-g143,Cheminformatics,39,122,0.1646,6,0,3.13,-0.05,20,0.51,4,0.063,0.123,3,1,4
594,ENZYMES-g144,Cheminformatics,19,70,0.4094,6,0,3.68,-0.07,58,3.05,6,0.688,0.604,3,2,4
595,ENZYMES-g145,Cheminformatics,20,78,0.4105,5,0,3.9,-0.05,61,3.05,5,0.587,0.54,3,2,4
596,ENZYMES-g146,Cheminformatics,39,174,0.2348,7,0,4.46,-0.04,120,3.08,8,0.403,0.392,3,2,5
597,ENZYMES-g147,Cheminformatics,40,168,0.2154,6,0,4.2,-0.04,71,1.78,5.5,0.241,0.256,3,2,4
598,ENZYMES-g148,Cheminformatics,39,160,0.2159,6,0,4.1,-0.03,61,1.56,6,0.231,0.239,3,2,4
599,ENZYMES-g149,Cheminformatics,39,164,0.2213,6,0,4.21,-0.03,79,2.03,6,0.291,0.29,3,2,5
600,ENZYMES-g15,Cheminformatics,36,128,0.2032,5,0,3.56,-0.02,95,2.64,5,0.588,0.565,3,2,4
601,ENZYMES-g150,Cheminformatics,29,82,0.202,5,0,2.83,-0.06,15,0.52,2,0.191,0.179,2,1,3
602,ENZYMES-g151,Cheminformatics,22,80,0.3463,6,0,3.64,-0.06,29,1.32,6,0.161,0.242,3,2,4
603,ENZYMES-g152,Cheminformatics,11,44,0.8,7,0,4,-0.13,34,3.09,5,0.625,0.5,3,2,4
604,ENZYMES-g153,Cheminformatics,8,32,1.1429,6,0,4,-0.12,24,3,6,0.463,0.49,3,2,4
605,ENZYMES-g154,Cheminformatics,13,44,0.5641,4,0,3.38,-0.1,34,2.62,4,0.718,0.708,3,2,4
606,ENZYMES-g155,Cheminformatics,18,66,0.4314,7,0,3.67,-0.1,23,1.28,5.5,0.198,0.237,3,2,4
607,ENZYMES-g156,Cheminformatics,12,44,0.6667,5,0,3.67,-0.08,18,1.5,4,0.272,0.31,3,2,3
608,ENZYMES-g157,Cheminformatics,8,30,1.0714,5,0,3.75,-0.11,24,3,5,0.592,0.585,3,2,4
609,ENZYMES-g158,Cheminformatics,40,126,0.1615,5,0,3.15,-0.05,46,1.15,5,0.157,0.291,3,2,5
610,ENZYMES-g159,Cheminformatics,12,50,0.7576,6,0,4.17,-0.17,32,2.67,5,0.54,0.471,3,2,4
611,ENZYMES-g16,Cheminformatics,55,194,0.1306,6,0,3.53,-0.03,66,1.2,6,0.182,0.232,3,2,4
612,ENZYMES-g160,Cheminformatics,22,96,0.4156,7,0,4.36,-0.02,78,3.55,8,0.502,0.459,3,2,4
613,ENZYMES-g161,Cheminformatics,22,84,0.3636,6,0,3.82,-0.08,24,1.09,4,0.123,0.188,3,1,4
614,ENZYMES-g162,Cheminformatics,18,64,0.4183,5,0,3.56,-0.04,50,2.78,5,0.619,0.588,3,2,4
615,ENZYMES-g163,Cheminformatics,12,44,0.6667,5,0,3.67,-0.11,29,2.42,5,0.556,0.558,3,2,4
616,ENZYMES-g164,Cheminformatics,17,72,0.5294,7,0,4.24,-0.05,67,3.94,9,0.593,0.558,3,2,4
617,ENZYMES-g165,Cheminformatics,14,52,0.5714,5,0,3.71,-0.1,35,2.5,4,0.58,0.538,3,2,4
618,ENZYMES-g166,Cheminformatics,22,72,0.3117,5,0,3.27,-0.06,47,2.14,4,0.567,0.573,3,2,4
619,ENZYMES-g167,Cheminformatics,43,188,0.2082,7,0,4.37,-0.03,152,3.53,8,0.497,0.463,3,2,5
621,ENZYMES-g169,Cheminformatics,44,188,0.1987,6,0,4.27,0,74,1.68,7,0.274,0.226,3,2,4
622,ENZYMES-g17,Cheminformatics,40,190,0.2436,7,0,4.75,-0.02,151,3.78,6,0.441,0.411,3,2,5
623,ENZYMES-g170,Cheminformatics,24,82,0.2971,5,0,3.42,-0.05,50,2.08,4,0.524,0.49,3,2,5
624,ENZYMES-g171,Cheminformatics,48,198,0.1755,7,0,4.13,-0.02,95,1.98,8,0.287,0.288,3,2,5
625,ENZYMES-g172,Cheminformatics,25,92,0.3067,5,0,3.68,-0.03,62,2.48,5,0.499,0.484,3,2,5
626,ENZYMES-g173,Cheminformatics,46,192,0.1855,6,0,4.17,0,83,1.8,7,0.28,0.256,3,2,4
627,ENZYMES-g174,Cheminformatics,48,196,0.1738,6,0,4.08,-0.02,83,1.73,5,0.269,0.261,3,2,4
628,ENZYMES-g175,Cheminformatics,25,86,0.2867,6,0,3.44,-0.04,57,2.28,5,0.543,0.514,3,2,4
629,ENZYMES-g176,Cheminformatics,48,192,0.1702,6,0,4,-0.01,92,1.92,5,0.335,0.303,3,2,5
630,ENZYMES-g177,Cheminformatics,44,192,0.203,8,0,4.36,-0.03,76,1.73,6,0.241,0.221,3,2,4
631,ENZYMES-g178,Cheminformatics,42,176,0.2044,6,0,4.19,-0.01,71,1.69,6,0.277,0.235,3,1,4
632,ENZYMES-g179,Cheminformatics,40,118,0.1513,7,0,2.95,-0.01,20,0.5,2,0.155,0.141,2,1,3
633,ENZYMES-g18,Cheminformatics,38,182,0.2589,7,0,4.79,-0.02,151,3.97,7,0.451,0.424,4,2,5
634,ENZYMES-g180,Cheminformatics,38,120,0.1707,7,0,3.16,-0.03,20,0.53,2,0.155,0.131,3,1,3
635,ENZYMES-g181,Cheminformatics,40,162,0.2077,7,0,4.05,-0.01,77,1.93,5,0.3,0.287,3,1,4
636,ENZYMES-g182,Cheminformatics,41,172,0.2098,6,0,4.2,-0.04,84,2.05,4.5,0.324,0.3,3,2,4
637,ENZYMES-g183,Cheminformatics,42,188,0.2184,6,0,4.48,0,95,2.26,7,0.31,0.275,3,2,4
638,ENZYMES-g184,Cheminformatics,40,182,0.2333,6,0,4.55,0,86,2.15,6,0.263,0.254,4,1,5
639,ENZYMES-g185,Cheminformatics,44,190,0.2008,6,0,4.32,0,86,1.95,6,0.262,0.257,3,1,5
640,ENZYMES-g186,Cheminformatics,24,80,0.2899,5,0,3.33,-0.04,30,1.25,4,0.3,0.309,3,2,4
641,ENZYMES-g187,Cheminformatics,44,188,0.1987,6,0,4.27,-0.03,79,1.8,4,0.27,0.245,3,1,4
642,ENZYMES-g188,Cheminformatics,20,78,0.4105,5,0,3.9,-0.01,56,2.8,7,0.448,0.475,3,2,5
643,ENZYMES-g189,Cheminformatics,42,190,0.2207,7,0,4.52,-0.02,111,2.64,6,0.335,0.313,3,2,5
644,ENZYMES-g19,Cheminformatics,2,2,2,1,0,1,-1,0,0,0,0,0,0,0,1
645,ENZYMES-g190,Cheminformatics,27,98,0.2792,6,0,3.63,-0.06,76,2.81,6,0.602,0.589,3,2,4
646,ENZYMES-g191,Cheminformatics,48,192,0.1702,6,0,4,0,86,1.79,3,0.336,0.281,3,2,4
647,ENZYMES-g192,Cheminformatics,31,132,0.2839,6,0,4.26,-0.05,103,3.32,8,0.488,0.479,3,2,5
648,ENZYMES-g193,Cheminformatics,30,120,0.2759,6,0,4,-0.06,89,2.97,7.5,0.48,0.478,3,2,4
649,ENZYMES-g194,Cheminformatics,46,200,0.1932,6,0,4.35,-0.01,80,1.74,5,0.225,0.22,3,1,5
650,ENZYMES-g195,Cheminformatics,47,184,0.1702,7,0,3.91,-0.02,83,1.77,5,0.289,0.292,3,2,4
651,ENZYMES-g196,Cheminformatics,50,172,0.1404,8,0,3.44,-0.03,45,0.9,5,0.197,0.187,3,2,5
652,ENZYMES-g197,Cheminformatics,40,154,0.1974,7,0,3.85,-0.02,80,2,8,0.243,0.336,3,2,5
653,ENZYMES-g198,Cheminformatics,55,154,0.1037,5,0,2.8,-0.05,25,0.45,2.5,0.182,0.157,2,1,4
654,ENZYMES-g199,Cheminformatics,62,216,0.1142,6,0,3.48,-0.03,46,0.74,4,0.147,0.163,3,1,4
655,ENZYMES-g2,Cheminformatics,23,102,0.4032,6,0,4.43,-0.04,93,4.04,7,0.523,0.511,3,2,5
656,ENZYMES-g20,Cheminformatics,35,140,0.2353,7,0,4,-0.04,115,3.29,7.5,0.577,0.513,4,2,4
657,ENZYMES-g200,Cheminformatics,34,144,0.2567,6,0,4.24,-0.02,120,3.53,8,0.543,0.502,3,2,5
658,ENZYMES-g201,Cheminformatics,29,106,0.2611,5,0,3.66,-0.05,84,2.9,5,0.66,0.604,3,2,4
659,ENZYMES-g202,Cheminformatics,25,90,0.3,5,0,3.6,-0.04,71,2.84,5,0.634,0.607,3,2,4
660,ENZYMES-g203,Cheminformatics,56,200,0.1299,6,0,3.57,-0.03,85,1.52,6,0.262,0.299,3,2,4
661,ENZYMES-g204,Cheminformatics,57,210,0.1316,6,0,3.68,-0.03,103,1.81,5,0.3,0.336,3,2,5
662,ENZYMES-g205,Cheminformatics,27,122,0.3476,6,0,4.52,-0.04,68,2.52,6,0.331,0.304,3,2,4
663,ENZYMES-g206,Cheminformatics,22,86,0.3723,6,0,3.91,-0.05,56,2.55,6,0.488,0.431,3,2,4
664,ENZYMES-g207,Cheminformatics,24,86,0.3116,5,0,3.58,-0.04,68,2.83,5,0.64,0.613,3,2,4
665,ENZYMES-g208,Cheminformatics,23,100,0.3953,7,0,4.35,-0.01,91,3.96,8,0.565,0.503,3,2,6
666,ENZYMES-g209,Cheminformatics,57,202,0.1266,5,0,3.54,-0.04,85,1.49,5,0.268,0.301,3,2,4
667,ENZYMES-g21,Cheminformatics,42,180,0.2091,7,0,4.29,-0.01,153,3.64,8,0.541,0.489,3,2,5
668,ENZYMES-g210,Cheminformatics,24,100,0.3623,6,0,4.17,-0.03,94,3.92,7,0.633,0.556,4,2,5
669,ENZYMES-g211,Cheminformatics,24,100,0.3623,7,0,4.17,-0.01,82,3.42,7,0.537,0.477,3,2,5
670,ENZYMES-g212,Cheminformatics,23,94,0.3715,7,0,4.09,-0.03,82,3.57,7,0.601,0.529,3,2,5
671,ENZYMES-g213,Cheminformatics,25,110,0.3667,7,0,4.4,-0.04,68,2.72,7,0.373,0.345,3,1,4
672,ENZYMES-g214,Cheminformatics,23,102,0.4032,8,0,4.43,-0.04,86,3.74,10,0.399,0.439,3,2,5
673,ENZYMES-g215,Cheminformatics,48,208,0.1844,7,0,4.33,-0.02,91,1.9,5,0.265,0.246,3,2,4
674,ENZYMES-g216,Cheminformatics,27,94,0.2678,6,0,3.48,-0.04,69,2.56,5,0.599,0.566,3,2,4
675,ENZYMES-g217,Cheminformatics,15,68,0.6476,6,0,4.53,-0.1,46,3.07,5,0.42,0.393,3,1,4
676,ENZYMES-g218,Cheminformatics,44,194,0.2051,8,0,4.41,-0.03,119,2.7,8,0.356,0.342,3,2,5
677,ENZYMES-g219,Cheminformatics,29,128,0.3153,7,0,4.41,-0.02,107,3.69,8,0.514,0.469,3,2,5
678,ENZYMES-g22,Cheminformatics,41,180,0.2195,6,0,4.39,-0.02,150,3.66,8,0.499,0.472,3,2,4
679,ENZYMES-g220,Cheminformatics,21,82,0.3905,6,0,3.9,-0.04,69,3.29,7,0.574,0.58,3,2,4
680,ENZYMES-g221,Cheminformatics,34,126,0.2246,6,0,3.71,-0.06,50,1.47,5.5,0.253,0.281,3,2,4
681,ENZYMES-g222,Cheminformatics,30,114,0.2621,5,0,3.8,-0.05,31,1.03,3,0.181,0.196,3,1,4
682,ENZYMES-g223,Cheminformatics,40,158,0.2026,6,0,3.95,-0.03,107,2.68,6,0.499,0.439,3,2,5
683,ENZYMES-g224,Cheminformatics,54,210,0.1468,8,0,3.89,-0.02,96,1.78,4,0.303,0.294,3,1,4
684,ENZYMES-g225,Cheminformatics,18,70,0.4575,5,0,3.89,-0.05,47,2.61,6,0.459,0.47,3,2,4
685,ENZYMES-g226,Cheminformatics,36,148,0.2349,7,0,4.11,-0.02,89,2.47,5,0.378,0.359,3,2,4
686,ENZYMES-g227,Cheminformatics,37,162,0.2432,7,0,4.38,-0.05,86,2.32,5,0.332,0.321,4,1,4
687,ENZYMES-g228,Cheminformatics,34,152,0.2709,7,0,4.47,-0.05,87,2.56,7,0.34,0.336,4,1,4
688,ENZYMES-g229,Cheminformatics,23,100,0.3953,7,0,4.35,-0.04,81,3.52,6,0.527,0.471,3,2,5
689,ENZYMES-g23,Cheminformatics,39,162,0.2186,6,0,4.15,-0.02,126,3.23,7,0.523,0.477,3,2,4
690,ENZYMES-g230,Cheminformatics,32,136,0.2742,7,0,4.25,-0.03,105,3.28,7,0.516,0.469,3,2,5
691,ENZYMES-g231,Cheminformatics,33,152,0.2879,6,0,4.61,-0.04,113,3.42,6,0.447,0.411,3,2,4
692,ENZYMES-g232,Cheminformatics,29,130,0.3202,6,0,4.48,-0.05,98,3.38,6,0.471,0.436,3,2,4
693,ENZYMES-g233,Cheminformatics,39,142,0.1916,8,0,3.64,-0.04,63,1.62,5,0.366,0.306,3,2,4
694,ENZYMES-g234,Cheminformatics,34,140,0.2496,6,0,4.12,-0.04,61,1.79,5,0.27,0.269,3,2,4
695,ENZYMES-g235,Cheminformatics,36,142,0.2254,6,0,3.94,-0.04,90,2.5,6,0.381,0.425,3,2,5
696,ENZYMES-g236,Cheminformatics,21,70,0.3333,6,0,3.33,-0.08,42,2,5,0.46,0.477,3,2,4
697,ENZYMES-g237,Cheminformatics,6,22,1.4667,5,0,3.67,-0.27,12,2,4,0.511,0.545,3,2,3
698,ENZYMES-g238,Cheminformatics,22,100,0.4329,7,0,4.55,-0.06,71,3.23,8,0.421,0.376,4,2,5
699,ENZYMES-g239,Cheminformatics,18,80,0.5229,7,0,4.44,-0.11,45,2.5,7,0.34,0.331,4,2,4
700,ENZYMES-g24,Cheminformatics,42,184,0.2137,6,0,4.38,-0.03,145,3.45,8,0.499,0.463,3,2,5
701,ENZYMES-g240,Cheminformatics,18,82,0.5359,7,0,4.56,-0.11,48,2.67,7,0.331,0.336,4,2,4
702,ENZYMES-g241,Cheminformatics,34,128,0.2282,5,0,3.76,-0.03,90,2.65,5,0.517,0.497,3,2,4
703,ENZYMES-g242,Cheminformatics,32,122,0.246,5,0,3.81,-0.03,93,2.91,5,0.555,0.534,3,2,5
704,ENZYMES-g243,Cheminformatics,33,124,0.2348,5,0,3.76,-0.03,93,2.82,5,0.548,0.534,3,2,5
708,ENZYMES-g247,Cheminformatics,39,116,0.1565,6,0,2.97,-0.04,21,0.54,4,0.169,0.158,3,2,4
709,ENZYMES-g248,Cheminformatics,28,96,0.254,5,0,3.43,-0.03,14,0.5,3,0.088,0.117,3,1,4
710,ENZYMES-g249,Cheminformatics,29,104,0.2562,5,0,3.59,-0.04,26,0.9,3,0.166,0.193,3,2,4
711,ENZYMES-g25,Cheminformatics,41,176,0.2146,6,0,4.29,-0.02,141,3.44,7,0.506,0.468,3,2,5
712,ENZYMES-g250,Cheminformatics,30,134,0.308,8,0,4.47,-0.05,74,2.47,7.5,0.34,0.307,3,2,5
713,ENZYMES-g251,Cheminformatics,14,52,0.5714,5,0,3.71,-0.12,39,2.79,4,0.661,0.6,3,2,4
714,ENZYMES-g252,Cheminformatics,32,120,0.2419,5,0,3.75,-0.02,93,2.91,5,0.579,0.544,3,2,5
715,ENZYMES-g253,Cheminformatics,35,132,0.2218,6,0,3.77,-0.02,62,1.77,5,0.31,0.32,3,2,4
716,ENZYMES-g254,Cheminformatics,24,80,0.2899,7,0,3.33,-0.07,7,0.29,1.5,0.062,0.065,2,1,4
717,ENZYMES-g255,Cheminformatics,17,60,0.4412,5,0,3.53,-0.05,42,2.47,5,0.557,0.545,3,2,4
718,ENZYMES-g256,Cheminformatics,18,66,0.4314,6,0,3.67,-0.03,54,3,7,0.619,0.593,3,2,4
719,ENZYMES-g257,Cheminformatics,16,58,0.4833,5,0,3.63,-0.05,45,2.81,5,0.594,0.592,3,2,4
720,ENZYMES-g258,Cheminformatics,19,72,0.4211,6,0,3.79,-0.08,59,3.11,6,0.632,0.608,3,2,4
721,ENZYMES-g259,Cheminformatics,19,70,0.4094,6,0,3.68,-0.07,57,3,6,0.643,0.606,3,2,4
722,ENZYMES-g26,Cheminformatics,40,170,0.2179,7,0,4.25,-0.02,145,3.63,8,0.553,0.505,3,2,4
723,ENZYMES-g260,Cheminformatics,21,84,0.4,7,0,4,-0.04,78,3.71,8,0.644,0.574,4,2,5
724,ENZYMES-g261,Cheminformatics,23,104,0.4111,7,0,4.52,-0.04,99,4.3,8,0.593,0.521,3,2,5
725,ENZYMES-g262,Cheminformatics,25,102,0.34,6,0,4.08,-0.05,83,3.32,5.5,0.565,0.519,3,2,4
726,ENZYMES-g263,Cheminformatics,27,120,0.3419,6,0,4.44,-0.06,107,3.96,7,0.544,0.519,4,2,5
727,ENZYMES-g264,Cheminformatics,24,96,0.3478,6,0,4,-0.05,75,3.13,5,0.544,0.521,3,2,5
728,ENZYMES-g265,Cheminformatics,24,98,0.3551,5,0,4.08,-0.06,74,3.08,5,0.535,0.507,3,2,4
729,ENZYMES-g266,Cheminformatics,32,122,0.246,7,0,3.81,-0.04,94,2.94,7,0.565,0.528,3,2,5
730,ENZYMES-g267,Cheminformatics,31,118,0.2538,7,0,3.81,-0.05,95,3.06,7,0.613,0.549,3,2,4
731,ENZYMES-g268,Cheminformatics,33,142,0.2689,8,0,4.3,-0.03,116,3.52,10,0.504,0.462,3,2,5
732,ENZYMES-g269,Cheminformatics,34,146,0.2602,8,0,4.29,-0.02,119,3.5,10,0.505,0.467,3,2,4
733,ENZYMES-g27,Cheminformatics,37,166,0.2492,7,0,4.49,-0.04,138,3.73,9,0.501,0.463,3,2,5
734,ENZYMES-g270,Cheminformatics,32,120,0.2419,6,0,3.75,-0.04,92,2.88,5,0.608,0.558,3,2,5
735,ENZYMES-g271,Cheminformatics,32,140,0.2823,6,0,4.38,-0.03,124,3.88,7,0.553,0.519,3,2,4
736,ENZYMES-g272,Cheminformatics,44,156,0.1649,6,0,3.55,-0.05,47,1.07,5.5,0.229,0.223,3,2,4
737,ENZYMES-g273,Cheminformatics,40,168,0.2154,7,0,4.2,-0.03,163,4.08,10,0.581,0.572,4,3,5
738,ENZYMES-g274,Cheminformatics,40,146,0.1872,6,0,3.65,-0.03,83,2.08,6,0.396,0.419,3,2,4
739,ENZYMES-g275,Cheminformatics,38,122,0.1735,6,0,3.21,-0.05,53,1.39,3,0.406,0.366,3,1,3
740,ENZYMES-g276,Cheminformatics,30,112,0.2575,7,0,3.73,-0.06,43,1.43,7,0.226,0.269,3,2,4
741,ENZYMES-g277,Cheminformatics,38,140,0.1991,6,0,3.68,-0.04,75,1.97,6,0.391,0.385,3,2,5
742,ENZYMES-g278,Cheminformatics,44,170,0.1797,6,0,3.86,-0.02,70,1.59,5,0.309,0.277,3,1,4
743,ENZYMES-g279,Cheminformatics,60,214,0.1209,6,0,3.57,-0.03,54,0.9,3,0.166,0.178,3,1,4
744,ENZYMES-g28,Cheminformatics,23,98,0.3874,6,0,4.26,-0.04,83,3.61,7,0.536,0.519,4,2,4
745,ENZYMES-g280,Cheminformatics,28,102,0.2698,5,0,3.64,-0.05,74,2.64,5,0.561,0.548,3,2,4
746,ENZYMES-g281,Cheminformatics,16,64,0.5333,7,0,4,-0.08,63,3.94,8,0.675,0.606,3,2,4
747,ENZYMES-g282,Cheminformatics,50,172,0.1404,6,0,3.44,-0.02,33,0.66,5,0.127,0.149,3,1,4
748,ENZYMES-g283,Cheminformatics,52,174,0.1312,5,0,3.35,-0.03,35,0.67,4,0.108,0.157,3,1,4
749,ENZYMES-g284,Cheminformatics,48,156,0.1383,5,0,3.25,-0.03,31,0.65,3,0.132,0.164,3,1,4
750,ENZYMES-g285,Cheminformatics,50,168,0.1371,5,0,3.36,-0.02,40,0.8,3,0.157,0.188,3,1,4
751,ENZYMES-g286,Cheminformatics,42,164,0.1905,6,0,3.9,-0.03,138,3.29,6,0.621,0.563,3,2,5
752,ENZYMES-g287,Cheminformatics,43,166,0.1838,7,0,3.86,-0.03,150,3.49,9,0.662,0.605,3,2,5
753,ENZYMES-g288,Cheminformatics,41,158,0.1927,7,0,3.85,-0.03,138,3.37,9,0.648,0.585,3,2,5
754,ENZYMES-g289,Cheminformatics,39,160,0.2159,6,0,4.1,-0.03,106,2.72,7,0.439,0.417,3,2,5
755,ENZYMES-g29,Cheminformatics,22,94,0.4069,6,0,4.27,-0.04,86,3.91,7,0.567,0.562,4,2,5
756,ENZYMES-g290,Cheminformatics,38,148,0.2105,6,0,3.89,-0.03,130,3.42,6.5,0.624,0.575,3,2,5
757,ENZYMES-g291,Cheminformatics,62,208,0.11,6,0,3.35,-0.03,55,0.89,4,0.155,0.204,3,2,4
758,ENZYMES-g292,Cheminformatics,60,200,0.113,6,0,3.33,-0.03,54,0.9,4,0.167,0.213,3,2,3
759,ENZYMES-g293,Cheminformatics,96,218,0.0478,6,0,2.27,-0.03,12,0.13,2,0.049,0.077,2,1,3
760,ENZYMES-g294,Cheminformatics,54,198,0.1384,6,0,3.67,-0.02,38,0.7,4,0.126,0.139,3,1,4
761,ENZYMES-g295,Cheminformatics,123,278,0.0371,5,0,2.26,0,6,0.05,2,0.006,0.029,2,1,4
762,ENZYMES-g296,Cheminformatics,125,282,0.0364,5,0,2.26,0,2,0.02,1,0.002,0.01,2,1,3
763,ENZYMES-g297,Cheminformatics,121,298,0.041,7,0,2.46,0,23,0.19,3,0.047,0.086,2,1,3
764,ENZYMES-g298,Cheminformatics,24,102,0.3696,6,0,4.25,-0.01,78,3.25,5,0.467,0.453,3,2,5
765,ENZYMES-g299,Cheminformatics,41,148,0.1805,5,0,3.61,-0.02,107,2.61,5,0.553,0.54,3,2,4
766,ENZYMES-g3,Cheminformatics,25,92,0.3067,6,0,3.68,-0.06,73,2.92,6,0.657,0.57,3,2,4
767,ENZYMES-g30,Cheminformatics,34,132,0.2353,6,0,3.88,-0.02,110,3.24,7,0.574,0.553,3,2,5
768,ENZYMES-g300,Cheminformatics,49,186,0.1582,7,0,3.8,-0.02,45,0.92,6,0.12,0.162,3,1,4
769,ENZYMES-g301,Cheminformatics,44,178,0.1882,7,0,4.05,-0.04,83,1.89,5,0.299,0.285,3,2,4
770,ENZYMES-g302,Cheminformatics,42,168,0.1951,8,0,4,-0.05,80,1.9,5,0.317,0.288,3,2,4
771,ENZYMES-g303,Cheminformatics,41,166,0.2024,7,0,4.05,-0.02,79,1.93,7,0.285,0.297,3,2,5
772,ENZYMES-g304,Cheminformatics,42,164,0.1905,8,0,3.9,-0.03,70,1.67,9,0.278,0.27,3,2,4
773,ENZYMES-g305,Cheminformatics,46,186,0.1797,7,0,4.04,-0.03,90,1.96,6,0.317,0.295,3,2,5
774,ENZYMES-g306,Cheminformatics,55,196,0.132,6,0,3.56,-0.02,77,1.4,4,0.258,0.287,3,2,4
775,ENZYMES-g307,Cheminformatics,50,184,0.1502,6,0,3.68,-0.03,55,1.1,3,0.178,0.21,3,2,4
776,ENZYMES-g308,Cheminformatics,42,164,0.1905,8,0,3.9,-0.03,70,1.67,9,0.278,0.27,3,2,4
777,ENZYMES-g309,Cheminformatics,48,188,0.1667,8,0,3.92,-0.03,82,1.71,4,0.31,0.262,3,2,4
778,ENZYMES-g31,Cheminformatics,38,162,0.2304,7,0,4.26,-0.02,126,3.32,7,0.538,0.458,3,2,5
779,ENZYMES-g310,Cheminformatics,51,198,0.1553,8,0,3.88,-0.03,57,1.12,4,0.205,0.184,3,1,4
780,ENZYMES-g311,Cheminformatics,24,100,0.3623,6,0,4.17,-0.02,39,1.63,5,0.237,0.239,3,1,4
781,ENZYMES-g312,Cheminformatics,51,178,0.1396,7,0,3.49,-0.02,82,1.61,5,0.483,0.319,3,2,5
782,ENZYMES-g313,Cheminformatics,52,192,0.1448,8,0,3.69,-0.02,55,1.06,5,0.258,0.191,3,1,4
783,ENZYMES-g314,Cheminformatics,22,76,0.329,5,0,3.45,-0.04,26,1.18,3,0.265,0.277,3,1,4
784,ENZYMES-g315,Cheminformatics,44,184,0.1945,7,0,4.18,-0.02,101,2.3,6,0.308,0.32,3,2,5
785,ENZYMES-g316,Cheminformatics,44,180,0.1903,7,0,4.09,-0.04,95,2.16,6,0.324,0.335,3,2,4
786,ENZYMES-g317,Cheminformatics,31,128,0.2753,6,0,4.13,-0.05,84,2.71,7,0.448,0.414,3,2,4
787,ENZYMES-g318,Cheminformatics,27,106,0.302,7,0,3.93,-0.01,80,2.96,8,0.486,0.482,3,2,5
788,ENZYMES-g319,Cheminformatics,25,90,0.3,5,0,3.6,-0.06,67,2.68,6,0.581,0.588,3,2,4
789,ENZYMES-g32,Cheminformatics,38,158,0.2248,7,0,4.16,-0.01,123,3.24,7,0.557,0.477,3,2,5
790,ENZYMES-g320,Cheminformatics,38,106,0.1508,6,0,2.79,-0.05,19,0.5,3,0.112,0.176,3,1,4
791,ENZYMES-g321,Cheminformatics,21,84,0.4,6,0,4,-0.04,69,3.29,6,0.619,0.527,3,2,5
792,ENZYMES-g322,Cheminformatics,29,114,0.2808,6,0,3.93,-0.04,81,2.79,5,0.533,0.46,3,2,4
793,ENZYMES-g323,Cheminformatics,20,74,0.3895,5,0,3.7,-0.06,58,2.9,4,0.635,0.592,3,2,4
794,ENZYMES-g324,Cheminformatics,21,74,0.3524,5,0,3.52,-0.05,57,2.71,4,0.621,0.6,3,2,4
795,ENZYMES-g325,Cheminformatics,50,196,0.16,7,0,3.92,-0.02,66,1.32,4,0.223,0.221,3,2,4
